name,address,latitude,longitude,notes
Sanctuary at Indian Creek,"1763 Slaughter Rd, Madison, AL",34.746749,-86.714563,"approx: Census match for adjacent 1700 Slaughter Rd; 1763 not in Census address ranges"
Villas at Cascades,"46303 McClellan Way, Sterling, VA",,,
Evelyn City Lofts,"900 E Sligh Avenue, Tampa, FL",,,
Oasis Stone Oak,"23609 Canyon Golf Rd, San Antonio, TX",29.658914,-98.479731,"approx: Census match for adjacent 23500 Canyon Golf Rd"
Oasis Woodlands,"33200 Forest West St, Magnolia, TX",30.222251,-95.580319,"approx: Census match for adjacent 33100 Forest West St (street is 'Forest West St')"
Oasis Round Rock,"8030 Co Rd 110, Round Rock, TX",,,
Affinity at Avenue One,"3918 Sidbury Rd, Castle Hayne, NC",34.327418,-77.873048,"approx +/-1mi: Census match for 5000 Sidbury Rd; 3918 not in Census ranges; verify against CoStar pin"
NEO Midtown,"14145 Noel Road, Dallas, TX",,,
Granby Crossing,"100 Granby Crossing, Cayce, SC",,,
